AVARU_G2_Northern_Gydan_eltroeva_2017_species_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Title: Russian Arctic Vegetation Archive: Northern Gydan (G2) Vegetation Plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Author: Elena Troeva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dataset Reference: Telyatnikov, M. Y., Troeva, E. I., Ermokhina, K. A., & Pristyazhnyuk, A. (2019). Vegetation of the two regions of the northern part of the Gydan Peninsula (the subzone of typical tundras). Turczaninowia, 22(4), 128–144. https://doi.org/10.14258/turczaninowia.22.4.14 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Table: Modified Species Cover Data for Northern Gydan (G2) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset Notes: Percentage species cover scale is used. Taxa are listed in alphabetical order. Both the dataset author determinations and the current nomenclature according to the Panarctic Species List (PASL) are listed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AUTHOR PLOT NUMBER,G2_2,G2_4,G2_6,G2_8,G2_11,G2_12,G2_14,G2_16,G2_17,G2_19,G2_22,G2_24,G2_26,G2_28,G2_30,G2_31,G2_33,G2_35,G2_36,G2_38,G2_40,G2_41,G2_43,G2_45,G2_47,G2_49,G2_51,G2_52,G2_55,G2_57,G2_59,G2_62,G2_64,G2_66,G2_68,G2_70,G2_72,G2_73,G2_75,G2_78,G2_80,G2_82,G2_84,G2_86,G2_88,G2_90,G2_92,G2_94,G2_95,G2_97,G2_99,G2_101,G2_104,G2_105,G2_107,G2_109,G2_112,G2_114,G2_116,G2_118,G2_120,G2_121,G2_123,G2_125,G2_127,G2_130,G2_131,G2_132,G2_137,G2_139,G2_140,G2_143,G2_144,G2_146,G2_148,G2_150,G2_152,G2_154,G2_156,G2_158,G2_160,G2_162
Ranunculus propinquus,Ranunculus subborealis s. subborealis Tzvelev,Ranunculus propinquus,3,0,5,0,2,3,0,0,2,0,0,5,5,0,0,2,2,0,2,0,0,0,0,0,3,0,2,0,4,0,0,2,0,0,0,0,3,0,3,0,0,0,0,5,3,2,0,2,0,2,0,5,2,5,0,2,0,2,5,15,0,0,0,2,0,0,2,0,0,2,0,0,15,3,0,0,0,0,0,0,0,0
Ranunculus pygmaeus,Ranunculus pygmaeus Wahlenb.,Ranunculus pygmaeus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Rhizomnium andrewsianum,Rhizomnium andrewsianum (Steere) T. Kop.,Rhizomnium andrewsianum,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhytidium rugosum,Rhytidium rugosum (Ehrh. ex Hedw.) Kindb.,Rhytidium rugosum,0,3,0,0,0,0,80,0,30,10,15,0,0,0,50,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rubus chamaemorus,Rubus chamaemorus L.,Rubus chamaemorus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,45,0,0
Rumex arcticus,Rumex arcticus Trautv.,Rumex arcticus,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,2,0,2,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,3,0,0,0,5,0,0,0,2,2,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,2,0,0,0,0
Salix glauca,Salix glauca L.,Salix glauca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salix lanata,Salix lanata L.,Salix lanata,0,0,5,0,0,5,0,0,4,0,0,10,0,0,0,30,0,0,5,8,0,7,0,0,0,0,0,0,10,0,0,10,0,0,0,0,40,2,5,0,0,0,0,15,0,0,0,0,0,4,0,2,3,80,0,0,20,0,2,0,0,0,0,30,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
Salix lanata,Salix lanata L.,Salix lanata,25,2,0,0,2,0,0,0,0,0,10,0,5,2,2,0,0,0,0,0,0,0,0,0,2,0,5,5,0,0,2,0,2,2,3,4,0,0,0,2,0,2,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,10,2,0,0,0,2,0,2,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0
Salix nummularia,Salix nummularia Andersson,Salix nummularia,0,0,0,0,0,0,20,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Salix polaris,Salix polaris Wahlenb.,Salix polaris,25,25,20,0,2,2,0,0,20,25,20,20,40,15,5,20,0,0,25,15,40,0,20,4,30,0,8,5,3,10,25,0,10,10,10,10,10,0,0,15,30,10,15,20,15,0,20,0,30,4,10,2,0,0,20,0,15,20,40,3,35,5,25,0,30,0,10,0,5,40,2,0,4,30,0,2,0,0,0,0,0,0
Salix pulchra,Salix pulchra Cham.,Salix pulchra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0
Salix reptans,Salix reptans Rupr.,Salix reptans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,35,0,0,0,0,5,0,0,0,2,0,7,0,0,15,0,0,20,2,0,3,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0
Salix reptans,Salix reptans Rupr.,Salix reptans,0,30,2,0,25,2,0,0,3,2,0,2,0,2,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,0,0,2,3,3,3,0,2,0,5,0,2,2,0,25,2,3,0,0,0,2,0,0,0,0,0,0,0,0,3,0,2,20,0,2,0,0,0,2,0,2,0,0,0,2,0,0,0,0,0,25,0
Salix reticulata,Salix reticulata L.,Salix reticulata,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanionia uncinata,Sanionia uncinata (Hedw.) Loeske,Sanionia uncinata,5,2,3,2,0,5,0,0,10,3,3,0,10,0,0,2,0,0,0,0,0,10,3,0,2,0,22,2,2,2,2,0,0,0,0,0,0,2,2,3,0,0,0,10,0,0,3,2,0,2,15,5,0,4,0,5,4,0,0,0,0,0,0,0,4,0,0,0,2,3,2,0,0,0,0,0,0,10,0,5,5,0
Sarmenthypnum sarmentosum,Sarmenthypnum sarmentosum (Wahlenb.) Tuom. & T. Kop.,Sarmentypnum sarmentosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0
Saussurea tilesii,Saussurea tilesii (Ledeb.) Ledeb.,Saussurea tilesii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
Saxifraga cernua,Saxifraga cernua L.,Saxifraga cernua,2,0,2,0,0,2,2,0,0,0,2,2,3,0,0,0,2,0,0,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,2,2,4,2,0,0,0,0,2,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,2,0,4,0,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0
Saxifraga foliolosa,Micranthes foliolosa (R. Br.) Gornall,Saxifraga foliolosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0
Saxifraga hieraciifolia,Micranthes hieraciifolia (Waldst. & Kit. ex Willd.) Haw.,Saxifraga hieracifolia,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saxifraga hirculus,Saxifraga hirculus L.,Saxifraga hirculus,0,0,2,0,0,0,2,0,0,0,2,2,0,0,0,0,2,0,0,3,2,2,2,0,0,0,3,0,0,0,0,0,0,2,3,3,0,0,2,0,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0
Saxifraga nelsoniana,Micranthes nelsoniana (D. Don) Small,Saxifraga nelsoniana,2,2,0,0,0,0,2,0,2,3,3,2,0,3,2,2,0,0,0,0,2,2,2,2,2,0,3,2,0,0,2,0,3,3,2,2,0,0,2,2,2,2,2,0,0,0,0,0,2,0,3,2,0,2,3,0,2,2,2,0,3,3,2,0,2,0,0,0,2,2,0,0,3,0,0,2,0,2,0,0,2,0
Saxifraga nivalis,Micranthes nivalis (L.) Small,Saxifraga nivalis,0,0,2,0,2,0,2,0,2,0,0,2,0,0,0,2,0,0,0,2,0,2,0,0,2,0,2,0,2,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
Solorina crocea,Solorina crocea (L.) Ach.,Solorina crocea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerophorus globosus,Sphaerophorus globosus (Huds.) Vain.,Sphaerophorus globosus,0,2,0,0,0,2,3,0,0,2,0,0,0,3,2,0,0,0,0,0,2,0,2,3,0,0,2,2,0,5,5,0,4,2,0,0,0,0,0,2,4,2,3,0,0,0,2,0,4,0,3,0,0,0,3,0,0,2,0,0,3,3,2,0,2,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Sphagnum balticum,Sphagnum balticum (Russ.) C. Jens.,Sphagnum balticum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0
Sphagnum girgensohnii,Sphagnum girgensohnii Russ.,Sphagnum girgensohnii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphagnum lenense,Sphagnum lenense H. Lindb. ex L.I. Savicz,Sphagnum lenense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Sphagnum obtusum,Sphagnum obtusum Warnst.,Sphagnum obtusum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Sphagnum rubellum,Sphagnum rubellum Wils.,Sphagnum rubellum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
Sphagnum russowii,Sphagnum russowii Warnst.,Sphagnum russowii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Sphagnum species,Sphagnum species ,Sphagnum species,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphagnum squarrosum,Sphagnum squarrosum Crome,Sphagnum squarrosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,40,0
Sphagnum subsecundum,Sphagnum subsecundum Nees,Sphagnum subsecundum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0
Sphagnum teres,Sphagnum teres (Schimp.) Aongstr.,Sphagnum teres,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,60,0
Sphagnum warnstorfii,Sphagnum warnstorfii Russ.,Sphagnum warnstorfii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,5,3,0
Splachnum sphaericum,Splachnum sphaericum Hedw.,Splachnum sphaericum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Stellaria crassifolia,Stellaria crassifolia Ehrh.,Stellaria crassifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Stellaria edwardsii,Stellaria longipes taxon edwardsii ,Stellaria edwardsii,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stellaria peduncularis,Stellaria longipes taxon peduncularis ,Stellaria peduncularis,3,3,0,0,0,2,2,0,2,2,2,0,0,0,2,2,2,0,2,2,3,3,2,2,0,0,2,2,0,2,0,2,2,2,0,2,2,0,3,2,2,3,3,0,2,3,2,2,3,2,2,4,0,3,3,2,3,3,3,2,2,2,2,2,2,2,2,0,3,3,0,0,3,2,0,2,0,3,0,0,2,3
Stereocaulon alpinum,Stereocaulon alpinum Laur.,Stereocaulon alpinum,3,2,0,0,0,8,2,0,0,0,0,2,3,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stereocaulon paschale,Stereocaulon paschale (L.) Hoffm.,Stereocaulon paschale,0,2,0,0,0,8,2,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,2,2,2,0,0,0,0,2,0,0,2,2,2,3,0,0,0,0,2,3,0,0,0,0,0,0,2,0,2,3,2,2,3,0,2,3,3,2,2,2,0,0,2,0,0,0,3,3,2,0,2,2,0,0,0,0,0,0,2,2
Stereocaulon species,Stereocaulon species ,Stereocaulon species,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanacetum bipinnatum,Tanacetum bipinnatum (L.) Sch.Bip.,Tanacetum bipinnatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tayloria lingulata,Tayloria lingulata (Dicks.) Lindb.,Tayloria lingulata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tephroseris atropurpurea,Tephroseris atropurpurea (Ledeb.) Holub,Tephroseris atropurpurea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0
Tephroseris palustris,Tephroseris palustris (L.) Rchb.,Tephroseris palustris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tetraplodon mnioides,Tetraplodon mnioides (Swartz ex Hedw.) Bruch & Schimp.,Tetraplodon mnioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Thalictrum alpinum,Thalictrum alpinum L.,Thalictrum alpinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thamnolia vermicularis s. vermicularis,Thamnolia vermicularis s. vermicularis (Sw.) Schaer.,Thamnolia vermicularis,2,22,0,0,0,0,2,0,0,2,2,0,0,3,2,0,0,0,0,0,2,0,3,2,0,0,0,2,0,3,3,0,3,2,3,0,0,0,0,0,3,3,0,0,0,0,2,0,3,0,2,0,0,0,3,0,2,3,0,0,3,3,3,0,3,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,2,3
Timmia austriaca,Timmia austriaca Hedw.,Timmia austriaca,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tomentypnum nitens,Tomentypnum nitens (Hedw.) Loeske,Tomentypnum nitens,2,2,0,0,0,0,0,0,0,10,5,0,20,20,0,2,0,0,0,50,0,5,20,0,0,0,20,10,3,0,0,3,5,30,60,20,0,3,5,0,20,0,0,0,2,0,20,0,0,0,0,0,2,0,2,0,5,0,0,0,0,5,0,0,5,0,0,10,30,0,0,0,0,70,0,2,0,2,0,0,2,3
Tripleurospermum hookeri,Tripleurospermum maritimum s. phaeocephalum (Rupr.) HÄmet_Ahti,Tripleurospermum hookeri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trisetum litorale,Trisetum sibiricum s. litorale Rupr. ex Roshev.,Trisetum litorale,2,0,0,0,0,2,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trisetum molle,Trisetum molle (Michx.) Kunth,Trisetum molle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2
Trisetum sibiricum,Trisetum sibiricum Rupr.,Trisetum sibiricum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Trollius asiaticus,Trollius x apertus Perfil. ex Igoschina,Trollius asiaticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vaccinium uliginosum,Vaccinium uliginosum L.,Vaccinium uliginosum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Vaccinium vitis_idaea,Vaccinium vitis_idaea L.,Vaccinium vitis_idaea,0,40,0,0,0,0,0,0,0,30,0,0,0,50,30,0,0,0,0,0,40,0,15,25,0,0,2,25,0,30,0,0,30,25,5,20,0,0,0,0,0,35,40,0,0,0,30,0,0,0,20,10,0,0,40,0,0,10,0,0,40,35,0,0,0,0,40,45,5,0,0,0,0,0,0,0,0,0,0,0,0,80
Valeriana capitata,Valeriana capitata Pall. ex Link,Valeriana capitata,2,2,0,0,2,0,2,0,2,2,3,3,3,2,2,2,0,0,3,2,2,3,3,0,0,0,3,3,0,2,0,3,2,2,2,2,3,0,3,2,2,2,3,0,2,0,2,0,2,0,0,2,0,0,2,0,3,2,3,0,3,2,3,2,2,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3
